SHAP_DXY_Index,SHAP_SP500_Index,SHAP_KLCI_Index,SHAP_copper_price_t1,Trade_Date
0.105405785,0.031967413,-0.07765722,0.9511646,2026-01-27
0.105405785,0.031967413,-0.07765722,0.9511646,2026-01-28
0.105405785,0.031967413,-0.07765722,0.9511646,2026-01-29
0.10342921,0.038101286,-0.07075046,0.9494434,2026-01-30
0.13738056,0.03283469,-0.08314223,0.9659677,2026-02-03
0.09530281,0.04183941,-0.0801958,0.9421092,2026-02-04
0.11252626,0.03135488,-0.07822178,0.93390465,2026-02-05
0.09530281,0.04183941,-0.0801958,0.9421092,2026-02-06
0.105405785,0.031967413,-0.07765722,0.9511646,2026-02-09
0.105405785,0.031967413,-0.07765722,0.9511646,2026-02-10
0.105405785,0.031967413,-0.07765722,0.9511646,2026-02-11
0.106953666,0.027369317,-0.071141824,0.94466555,2026-02-12
0.104698636,0.026977833,-0.07100101,0.91893804,2026-02-13
0.11055139,0.045363702,-0.079734,0.9125855,2026-02-19
0.10167081,0.042339273,-0.07755765,0.9159048,2026-02-20
0.12758589,0.03630281,-0.07767275,0.94015676,2026-02-23
0.10908858,0.045121938,-0.07709434,0.91597384,2026-02-24
0.12406416,0.04703746,-0.0772863,0.945019,2026-02-25
0.10332347,0.041043546,-0.078058146,0.939358,2026-02-26
0.09530281,0.04183941,-0.0801958,0.9421092,2026-02-27
0.108852096,0.04474991,-0.079803325,0.9455148,2026-03-02
0.08444012,0.037815094,-0.05812992,0.91499966,2026-03-03
0.11495282,0.04760196,-0.06655827,0.94646144,2026-03-04
0.08827317,0.042130068,-0.05510527,0.91022736,2026-03-05
0.08091713,0.034479074,-0.060034458,0.89130145,2026-03-06
0.096574195,0.04003479,-0.054809578,0.89350986,2026-03-09
0.102929175,0.025267037,-0.056043316,0.93737954,2026-03-10
0.08944171,0.037222642,-0.056241136,0.9086782,2026-03-11
0.06153249,0.018307824,-0.051238563,0.8976404,2026-03-12
-0.16632017,0.002888914,-0.034256883,0.76041204,2026-03-13
0.06201255,0.018592676,-0.05143293,0.8745672,2026-03-16
0.053557128,0.03727045,-0.05510613,0.89797425,2026-03-17
-0.20914784,-0.0036793232,-0.033570237,0.69732606,2026-03-18
0.0774317,0.005416047,-0.06412047,0.8477431,2026-03-19
0.05552198,-0.021085504,-0.066228785,0.73026985,2026-03-24
0.037722412,-0.023114292,-0.06573203,0.712612,2026-03-25
-0.2034214,-0.022164475,-0.03765154,0.5061686,2026-03-26
-0.18564996,0.048257004,-0.047238003,0.62666416,2026-03-27
-0.18528537,0.01629959,-0.039998055,0.60805374,2026-03-30
-0.19258092,-0.021147901,-0.037702095,0.5350865,2026-03-31
0.048853897,-0.01074263,-0.06674921,0.8403461,2026-04-01
